WigleWifi-1.4,appRelease=2.53,model=D1-Mini-Pro,release=0.0.0,device=NetDash,display=SSD1306,board=ESP8266,brand=Wemos
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
EE:CB:BC:91:97:63,sip,[ESS],2023-3-5 2:27:6,1,-74,33.887687,-118.029565,19.3,83,WIFI
00:80:AE:C0:83:81,hug2g843283,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:27:6,1,-80,33.887687,-118.029565,19.3,83,WIFI
B0:39:56:A7:00:DD,Frontier8212,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:27:6,1,-84,33.887687,-118.029565,19.3,83,WIFI
04:18:D6:C2:29:AF,DWW-IT-WiFi-Extender,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:27:6,1,-82,33.887687,-118.029565,19.3,83,WIFI
D8:38:FC:88:60:28,DWW-SDI,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:27:6,1,-90,33.887687,-118.029565,19.3,83,WIFI
D8:38:FC:08:60:29,DWW-BC,[WEP][ESS],2023-3-5 2:27:6,1,-92,33.887687,-118.029565,19.3,83,WIFI
E8:48:B8:10:DC:34,TP-Link_DC34,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:27:6,2,-83,33.887687,-118.029565,19.3,83,WIFI
D8:38:FC:08:60:28,DWW-2.4,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:27:6,1,-90,33.887687,-118.029565,19.3,83,WIFI
D8:38:FC:48:60:29,DWW-Guest-Wifi,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:27:6,1,-84,33.887687,-118.029565,19.3,83,WIFI
D8:38:FC:08:5C:F8,DWW-2.4,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:27:6,4,-88,33.887687,-118.029565,19.3,83,WIFI
D8:38:FC:88:5C:F8,DWW-SDI,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:27:6,4,-90,33.887687,-118.029565,19.3,83,WIFI
D8:38:FC:C8:5C:F8,DWW-SFS,[WEP][ESS],2023-3-5 2:27:6,4,-91,33.887687,-118.029565,19.3,83,WIFI
D8:38:FC:08:5C:F9,DWW-BC,[WEP][ESS],2023-3-5 2:27:6,4,-89,33.887687,-118.029565,19.3,83,WIFI
00:04:F3:1A:96:80,xbee-0004F31A9680,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:27:6,6,-82,33.887687,-118.029565,19.3,83,WIFI
B8:66:85:CD:4A:E6,MySpectrumWiFie0-2G,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:27:6,6,-78,33.887687,-118.029565,19.3,83,WIFI
84:A0:6E:CA:13:16,Affluent-2G,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:27:6,6,-72,33.887687,-118.029565,19.3,83,WIFI
D8:0D:17:C5:5C:0E,TP-LINK_Smart Plug_5C0E,E0:CB:BC:91:97:63,Starbucks WiFi,[ESS],2023-3-5 2:27:6,1,-73,33.887687,-118.029565,19.3,83,WIFI
E6:CB:BC:91:97:63,smll,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:27:6,1,-74,33.887687,-118.029565,19.3,83,WIFI
EA:CB:BC:91:97:63,notes,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:27:6,1,-73,33.887687,-118.029565,19.3,83,WIFI
D8:38:FC:08:5C:88,DWW-2.4,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:27:6,7,-89,33.887687,-118.029565,19.3,83,WIFI
D8:38:FC:88:5C:88,DWW-SDI,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:27:6,7,-91,33.887687,-118.029565,19.3,83,WIFI
D8:38:FC:08:5C:89,DWW-BC,[WEP][ESS],2023-3-5 2:27:6,7,-89,33.887687,-118.029565,19.3,83,WIFI
D8:38:FC:0A:7E:98,DWW-2.4,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:27:6,7,-85,33.887687,-118.029565,19.3,83,WIFI
D8:38:FC:4A:7E:98,DWW-BC2,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:27:6,7,-81,33.887687,-118.029565,19.3,83,WIFI
D8:38:FC:8A:7E:98,DWW-SDI,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:27:6,7,-85,33.887687,-118.029565,19.3,83,WIFI
D8:38:FC:CA:7E:98,DWW-SFS,[WEP][ESS],2023-3-5 2:27:6,7,-82,33.887687,-118.029565,19.3,83,WIFI
D8:38:FC:0A:7E:99,DWW-BC,[WEP][ESS],2023-3-5 2:27:6,7,-85,33.887687,-118.029565,19.3,83,WIFI
D8:38:FC:4A:7E:99,DWW-Guest-Wifi,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:27:6,7,-82,33.887687,-118.029565,19.3,83,WIFI
4C:AB:F8:0C:DF:7A,Verizon_9KFYY4,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:27:6,1,-87,33.887687,-118.029565,19.3,83,WIFI
52:AB:F8:0C:DF:7A,Verizon_9KFYY4_Guest,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:27:6,1,-89,33.887687,-118.029565,19.3,83,WIFI
1C:B9:C4:7B:D5:93,Recover.Me-3BD590,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:27:6,9,-85,33.887687,-118.029565,19.3,83,WIFI
22:AD:56:24:2E:5F,Hotspot2E5F,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:27:6,1,-84,33.887687,-118.029565,19.3,83,WIFI
D8:38:FC:C8:60:28,DWW-SFS,[WEP][ESS],2023-3-5 2:27:6,1,-92,33.887687,-118.029565,19.3,83,WIFI
A8:97:CD:CA:61:80,Frontier0576,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:27:6,11,-83,33.887687,-118.029565,19.3,83,WIFI
EE:CB:BC:91:55:B2,sip,[ESS],2023-3-5 2:27:6,11,-87,33.887687,-118.029565,19.3,83,WIFI
C0:84:7D:FC:8B:2A,VAVA_c0847dfc8b2a,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:27:6,11,-92,33.887687,-118.029565,19.3,83,WIFI
AC:E2:D3:8E:6A:3F,DIRECT-3E-HP OfficeJet Pro 6970,98:F7:81:E3:7A:D2,Frontier3040,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:27:6,11,-93,33.887687,-118.029565,19.3,83,WIFI
E6:CB:BC:91:97:63,smll,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:27:10,1,-72,33.887687,-118.029565,19.3,83,WIFI
EA:CB:BC:91:97:63,notes,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:27:10,1,-73,33.887687,-118.029565,19.3,83,WIFI
EE:CB:BC:91:97:63,sip,[ESS],2023-3-5 2:27:10,1,-73,33.887687,-118.029565,19.3,83,WIFI
D8:38:FC:08:39:29,DWW-BC,[WEP][ESS],2023-3-5 2:27:10,1,-90,33.887687,-118.029565,19.3,83,WIFI
E0:CB:BC:91:97:63,Starbucks WiFi,[ESS],2023-3-5 2:27:10,1,-73,33.887687,-118.029565,19.3,83,WIFI
04:18:D6:C2:29:AF,DWW-IT-WiFi-Extender,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:27:10,1,-83,33.887687,-118.029565,19.3,83,WIFI
B0:39:56:A7:00:DD,Frontier8212,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:27:10,1,-83,33.887687,-118.029565,19.3,83,WIFI
D8:38:FC:C8:60:28,DWW-SFS,[WEP][ESS],2023-3-5 2:27:10,1,-90,33.887687,-118.029565,19.3,83,WIFI
D8:38:FC:08:60:29,DWW-BC,[WEP][ESS],2023-3-5 2:27:10,1,-89,33.887687,-118.029565,19.3,83,WIFI
D8:38:FC:48:60:29,DWW-Guest-Wifi,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:27:10,1,-90,33.887687,-118.029565,19.3,83,WIFI
E8:48:B8:10:DC:34,TP-Link_DC34,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:27:10,2,-82,33.887687,-118.029565,19.3,83,WIFI
D8:38:FC:08:60:28,DWW-2.4,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:27:10,1,-92,33.887687,-118.029565,19.3,83,WIFI
E8:1D:A8:FD:8B:58,DWW-SFS,[WEP][ESS],2023-3-5 2:27:10,4,-80,33.887687,-118.029565,19.3,83,WIFI
E8:1D:A8:3D:8B:59,DWW-BC,[WEP][ESS],2023-3-5 2:27:10,4,-81,33.887687,-118.029565,19.3,83,WIFI
