WigleWifi-1.4,appRelease=2.53,model=D1-Mini-Pro,release=0.0.0,device=NetDash,display=SSD1306,board=ESP8266,brand=Wemos
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
E6:CB:BC:91:97:63,smll,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:26,1,-67,33.887713,-118.029552,28.4,178,WIFI
EA:CB:BC:91:97:63,notes,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:26,1,-67,33.887713,-118.029552,28.4,178,WIFI
EE:CB:BC:91:97:63,sip,[ESS],2023-3-5 2:25:26,1,-68,33.887713,-118.029552,28.4,178,WIFI
B0:39:56:A7:00:DD,Frontier8212,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:26,1,-85,33.887713,-118.029552,28.4,178,WIFI
4C:AB:F8:0C:DF:7A,Verizon_9KFYY4,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:26,1,-90,33.887713,-118.029552,28.4,178,WIFI
0C:F4:D5:DB:74:78,DWW-SFS,[WEP][ESS],2023-3-5 2:25:26,1,-93,33.887713,-118.029552,28.4,178,WIFI
04:18:D6:C2:29:AF,DWW-IT-WiFi-Extender,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:26,1,-81,33.887713,-118.029552,28.4,178,WIFI
00:80:AE:C0:83:81,hug2g843283,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:26,1,-84,33.887713,-118.029552,28.4,178,WIFI
D8:38:FC:08:60:28,DWW-2.4,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:26,1,-91,33.887713,-118.029552,28.4,178,WIFI
E8:48:B8:10:DC:34,TP-Link_DC34,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:26,2,-82,33.887713,-118.029552,28.4,178,WIFI
E8:1D:A8:3D:8B:58,DWW-2.4,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:26,4,-81,33.887713,-118.029552,28.4,178,WIFI
E8:1D:A8:7D:8B:58,DWW-BC2,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:26,4,-81,33.887713,-118.029552,28.4,178,WIFI
E8:1D:A8:BD:8B:58,DWW-SDI,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:26,4,-82,33.887713,-118.029552,28.4,178,WIFI
E8:1D:A8:FD:8B:58,DWW-SFS,[WEP][ESS],2023-3-5 2:25:26,4,-81,33.887713,-118.029552,28.4,178,WIFI
E8:1D:A8:3D:8B:59,DWW-BC,[WEP][ESS],2023-3-5 2:25:26,4,-83,33.887713,-118.029552,28.4,178,WIFI
E8:1D:A8:7D:8B:59,DWW-Guest-Wifi,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:26,4,-82,33.887713,-118.029552,28.4,178,WIFI
00:04:F3:1A:96:80,xbee-0004F31A9680,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:26,6,-81,33.887713,-118.029552,28.4,178,WIFI
B8:66:85:CD:4A:E6,MySpectrumWiFie0-2G,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:26,6,-75,33.887713,-118.029552,28.4,178,WIFI
84:A0:6E:CA:13:16,Affluent-2G,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:26,6,-68,33.887713,-118.029552,28.4,178,WIFI
68:FF:7B:72:94:04,TP-LINK_Smart Plug_9404,D8:38:FC:08:5C:88,DWW-2.4,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:26,7,-88,33.887713,-118.029552,28.4,178,WIFI
D8:38:FC:08:5C:89,DWW-BC,[WEP][ESS],2023-3-5 2:25:26,7,-87,33.887713,-118.029552,28.4,178,WIFI
D8:38:FC:88:60:28,DWW-SDI,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:26,1,-91,33.887713,-118.029552,28.4,178,WIFI
D8:38:FC:C8:60:28,DWW-SFS,[WEP][ESS],2023-3-5 2:25:26,1,-91,33.887713,-118.029552,28.4,178,WIFI
D8:38:FC:08:60:29,DWW-BC,[WEP][ESS],2023-3-5 2:25:26,1,-91,33.887713,-118.029552,28.4,178,WIFI
