WigleWifi-1.4,appRelease=2.53,model=D1-Mini-Pro,release=0.0.0,device=NetDash,display=SSD1306,board=ESP8266,brand=Wemos
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
94:A6:7E:3A:41:9E,LMES_2GEXT,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 3:1:55,1,-89,33.884451,-118.029104,23.9,95,WIFI
76:69:42:A6:A6:F5,SpectrumSetup-F7,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 3:1:55,1,-79,33.884451,-118.029104,23.9,95,WIFI
C8:9E:43:E3:35:5D,NETGEAR89,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 3:1:55,1,-85,33.884451,-118.029104,23.9,95,WIFI
B0:E4:D5:0D:CD:2A,WCGWIFI,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 3:1:55,1,-90,33.884451,-118.029104,23.9,95,WIFI
D0:21:F9:6A:86:C7,LMES,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 3:1:55,1,-82,33.884451,-118.029104,23.9,95,WIFI
6C:5A:B0:17:36:59,GGARCIA,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 3:1:55,2,-84,33.884451,-118.029104,23.9,95,WIFI
D8:EC:5E:3E:FE:6E,ABC,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 3:1:55,1,-89,33.884451,-118.029104,23.9,95,WIFI
F8:BC:0E:4B:75:86,PGROUP,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 3:1:55,6,-86,33.884451,-118.029104,23.9,95,WIFI
98:1E:19:3A:0A:2E,MySpectrumWiFi28-2G,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 3:1:55,6,-83,33.884451,-118.029104,23.9,95,WIFI
62:E6:F0:16:79:EC,myChevrolet 79EC,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 3:1:55,7,-82,33.884451,-118.029104,23.9,95,WIFI
98:1E:19:53:29:76,SEEDUSA-2G,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 3:1:55,1,-86,33.884451,-118.029104,23.9,95,WIFI
CC:F4:11:65:C4:ED,WCGWIFI,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 3:1:55,1,-81,33.884451,-118.029104,23.9,95,WIFI
E4:71:85:17:CD:9C,MS Commnications, Inc999.,1C:B9:C4:7B:D5:93,Recover.Me-3BD590,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 3:1:55,8,-71,33.884451,-118.029104,23.9,95,WIFI
10:0C:6B:50:D9:56,LMES,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 3:1:55,9,-80,33.884451,-118.029104,23.9,95,WIFI
54:AF:97:62:1B:20,BaileyLaw.1,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 3:1:55,10,-85,33.884451,-118.029104,23.9,95,WIFI
B2:00:73:F3:3B:ED,My Traverse,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 3:1:55,11,-86,33.884451,-118.029104,23.9,95,WIFI
E0:1F:2B:DA:EF:80,TMOBILE-EF77,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 3:1:55,11,-82,33.884451,-118.029104,23.9,95,WIFI
D8:38:FC:09:35:68,DWW-2.4,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 3:1:55,1,-84,33.884451,-118.029104,23.9,95,WIFI
D8:38:FC:89:35:68,DWW-SDI,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 3:1:55,1,-89,33.884451,-118.029104,23.9,95,WIFI
D0:21:F9:6A:86:C7,LMES,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 3:1:58,1,-80,33.884478,-118.029105,26.9,68,WIFI
B0:E4:D5:0D:CD:2A,WCGWIFI,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 3:1:58,1,-84,33.884478,-118.029105,26.9,68,WIFI
CC:F4:11:65:C4:ED,WCGWIFI,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 3:1:58,1,-79,33.884478,-118.029105,26.9,68,WIFI
D8:38:FC:09:35:68,DWW-2.4,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 3:1:58,1,-90,33.884478,-118.029105,26.9,68,WIFI
60:38:E0:85:64:D8,Linksys02896,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 3:1:58,2,-85,33.884478,-118.029105,26.9,68,WIFI
10:0C:6B:EE:80:50,office1,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 3:1:58,3,-90,33.884478,-118.029105,26.9,68,WIFI
48:F8:B3:D5:F7:CB,LinksysMHK,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 3:1:58,5,-86,33.884478,-118.029105,26.9,68,WIFI
4A:F8:B3:D5:F7:CC,LinksysMHK-guest,[ESS],2023-3-5 3:1:58,5,-85,33.884478,-118.029105,26.9,68,WIFI
98:1E:19:53:29:76,SEEDUSA-2G,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 3:1:58,1,-85,33.884478,-118.029105,26.9,68,WIFI
00:22:B0:C6:4B:7F,dlink,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 3:1:58,6,-84,33.884478,-118.029105,26.9,68,WIFI
