WigleWifi-1.4,appRelease=2.53,model=D1-Mini-Pro,release=0.0.0,device=NetDash,display=SSD1306,board=ESP8266,brand=Wemos
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
04:18:D6:82:53:15,UCC-BP,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 0:39:16,1,-66,33.879332,-118.009706,0.3,414,WIFI
D4:A0:2A:49:98:30,103,[WEP][ESS],2023-3-5 0:39:16,1,-86,33.879332,-118.009706,0.3,414,WIFI
EA:9E:B4:23:17:C8,DIRECT-c8-HP M402 LaserJet,AC:8F:A9:C6:04:A4,ATTifvZpxh,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 0:39:16,6,-59,33.879332,-118.009706,0.3,414,WIFI
56:13:79:A7:CD:DF,DIRECT-df-HP M402 LaserJet,56:13:79:A7:CD:9D,DIRECT-9d-HP M402 LaserJet,D6:6A:6A:A9:E9:1D,DIRECT-1d-HP M402 LaserJet,80:2A:A8:9A:E4:4F,DXSupplyChain,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 0:39:16,11,-85,33.879332,-118.009706,0.3,414,WIFI
04:18:D6:82:53:15,UCC-BP,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 0:39:19,1,-74,33.879387,-118.009837,-10.8,414,WIFI
D4:A0:2A:49:98:30,103,[WEP][ESS],2023-3-5 0:39:19,1,-80,33.879387,-118.009837,-10.8,414,WIFI
68:D7:9A:D1:33:BB,UCC-BP,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 0:39:19,5,-78,33.879387,-118.009837,-10.8,414,WIFI
AC:8F:A9:C6:04:A4,ATTifvZpxh,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 0:39:19,6,-59,33.879387,-118.009837,-10.8,414,WIFI
EA:9E:B4:23:17:C8,DIRECT-c8-HP M402 LaserJet,80:2A:A8:9A:E4:4F,DXSupplyChain,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 0:39:19,11,-83,33.879387,-118.009837,-10.8,414,WIFI
04:18:D6:82:53:15,UCC-BP,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 0:39:19,1,-70,33.879387,-118.009837,-10.8,414,WIFI
D4:A0:2A:49:98:30,103,[WEP][ESS],2023-3-5 0:39:19,1,-84,33.879387,-118.009837,-10.8,414,WIFI
56:13:79:A7:CD:9D,DIRECT-9d-HP M402 LaserJet,AC:8F:A9:C6:04:A4,ATTifvZpxh,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 0:39:19,6,-61,33.879387,-118.009837,-10.8,414,WIFI
