WigleWifi-1.4,appRelease=2.53,model=D1-Mini-Pro,release=0.0.0,device=NetDash,display=SSD1306,board=ESP8266,brand=Wemos
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
E8:D2:FF:B3:21:DE,SpectrumSetup-D8,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-3 19:29:46,1,-68,33.876309,-117.997433,26.4,191,WIFI
F8:7B:8C:05:55:26,Amped_Wireless,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2023-3-3 19:29:46,1,-93,33.876309,-117.997433,26.4,191,WIFI
2C:00:AB:46:87:E0,qwertyuiop,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-3 19:29:46,2,-90,33.876309,-117.997433,26.4,191,WIFI
6C:CD:D6:C3:6A:2F,NETGEAR98,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-3 19:29:46,4,-88,33.876309,-117.997433,26.4,191,WIFI
E4:F7:5B:C0:43:F0,ATTwIv8NuI,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-3 19:29:46,5,-92,33.876309,-117.997433,26.4,191,WIFI
F8:A0:97:54:22:50,ATTbneUZ3A,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2023-3-3 19:29:46,1,-90,33.876309,-117.997433,26.4,191,WIFI
2C:EA:DC:C0:2E:69,SpectrumSetup-6B,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-3 19:29:46,6,-52,33.876309,-117.997433,26.4,191,WIFI
1C:B9:C4:7B:B5:63,Recover.Me-3BB560,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-3 19:29:46,7,-88,33.876309,-117.997433,26.4,191,WIFI
0C:EA:C9:86:59:00,century,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-3 19:29:46,1,-92,33.876309,-117.997433,26.4,191,WIFI
E8:D2:FF:B3:21:DE,SpectrumSetup-D8,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-3 19:29:49,1,-74,33.876312,-117.997435,25.8,191,WIFI
0C:EA:C9:86:59:00,century,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-3 19:29:49,1,-95,33.876312,-117.997435,25.8,191,WIFI
10:0C:6B:DB:CC:3B,Sensa Health BP,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-3 19:29:49,4,-92,33.876312,-117.997435,25.8,191,WIFI
C8:52:61:90:B5:B0,ATT38fX4TA,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-3 19:29:49,5,-94,33.876312,-117.997435,25.8,191,WIFI
2C:EA:DC:C0:2E:69,SpectrumSetup-6B,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-3 19:29:49,6,-53,33.876312,-117.997435,25.8,191,WIFI
1C:B9:C4:7B:B5:63,Recover.Me-3BB560,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-3 19:29:49,7,-87,33.876312,-117.997435,25.8,191,WIFI
E4:F7:5B:95:8B:C0,ATTzfFDpEa,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-3 19:29:49,1,-89,33.876312,-117.997435,25.8,191,WIFI
14:91:82:80:FE:CD,SETO7821,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-3 19:29:49,9,-89,33.876312,-117.997435,25.8,191,WIFI
F8:A0:97:54:22:50,ATTbneUZ3A,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2023-3-3 19:29:49,1,-94,33.876312,-117.997435,25.8,191,WIFI
E8:D2:FF:B3:21:DE,SpectrumSetup-D8,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-3 19:29:49,1,-77,33.876312,-117.997435,25.8,191,WIFI
10:0C:6B:DB:CC:3B,Sensa Health BP,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-3 19:29:49,4,-89,33.876312,-117.997435,25.8,191,WIFI
C8:52:61:90:B5:B0,ATT38fX4TA,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-3 19:29:49,5,-92,33.876312,-117.997435,25.8,191,WIFI
2C:EA:DC:C0:2E:69,SpectrumSetup-6B,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-3 19:29:49,6,-53,33.876312,-117.997435,25.8,191,WIFI
1C:B9:C4:7B:B5:63,Recover.Me-3BB560,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-3 19:29:49,7,-87,33.876312,-117.997435,25.8,191,WIFI
E4:F7:5B:95:8B:C0,ATTzfFDpEa,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-3 19:29:49,1,-91,33.876312,-117.997435,25.8,191,WIFI
14:91:82:80:FE:CD,SETO7821,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-3 19:29:49,9,-92,33.876312,-117.997435,25.8,191,WIFI
F8:7B:8C:05:55:26,Amped_Wireless,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2023-3-3 19:29:49,1,-94,33.876312,-117.997435,25.8,191,WIFI
E8:D2:FF:B3:21:DE,SpectrumSetup-D8,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-3 19:29:52,1,-76,33.876314,-117.997441,25.8,191,WIFI
E4:F7:5B:95:8B:C0,ATTzfFDpEa,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-3 19:29:52,1,-94,33.876314,-117.997441,25.8,191,WIFI
2C:00:AB:46:87:E0,qwertyuiop,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-3 19:29:52,2,-94,33.876314,-117.997441,25.8,191,WIFI
10:0C:6B:DB:CC:3B,Sensa Health BP,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-3 19:29:52,4,-90,33.876314,-117.997441,25.8,191,WIFI
6C:CD:D6:C3:6A:2F,NETGEAR98,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-3 19:29:52,4,-89,33.876314,-117.997441,25.8,191,WIFI
C8:52:61:90:B5:B0,ATT38fX4TA,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-3 19:29:52,5,-92,33.876314,-117.997441,25.8,191,WIFI
2C:EA:DC:C0:2E:69,SpectrumSetup-6B,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-3 19:29:52,6,-52,33.876314,-117.997441,25.8,191,WIFI
14:91:82:80:FE:CD,SETO7821,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-3 19:29:52,9,-91,33.876314,-117.997441,25.8,191,WIFI
E8:D2:FF:B3:21:DE,SpectrumSetup-D8,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-3 19:29:57,1,-76,33.876313,-117.997445,29.1,131,WIFI
F8:7B:8C:05:55:26,Amped_Wireless,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2023-3-3 19:29:57,1,-93,33.876313,-117.997445,29.1,131,WIFI
2C:00:AB:46:87:E0,qwertyuiop,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-3 19:29:57,2,-92,33.876313,-117.997445,29.1,131,WIFI
6C:CD:D6:C3:6A:2F,NETGEAR98,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-3 19:29:57,4,-89,33.876313,-117.997445,29.1,131,WIFI
C8:52:61:90:B5:B0,ATT38fX4TA,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-3 19:29:57,5,-92,33.876313,-117.997445,29.1,131,WIFI
E4:F7:5B:C0:43:F0,ATTwIv8NuI,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-3 19:29:57,5,-91,33.876313,-117.997445,29.1,131,WIFI
2C:EA:DC:C0:2E:69,SpectrumSetup-6B,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-3 19:29:57,6,-53,33.876313,-117.997445,29.1,131,WIFI
E4:F7:5B:95:8B:C0,ATTzfFDpEa,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-3 19:29:57,1,-90,33.876313,-117.997445,29.1,131,WIFI
E8:D2:FF:B3:21:DE,SpectrumSetup-D8,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-3 19:30:0,1,-75,33.876311,-117.997446,30.5,131,WIFI
E4:F7:5B:95:8B:C0,ATTzfFDpEa,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-3 19:30:0,1,-89,33.876311,-117.997446,30.5,131,WIFI
10:0C:6B:DB:CC:3B,Sensa Health BP,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-3 19:30:0,4,-92,33.876311,-117.997446,30.5,131,WIFI
F8:7B:8C:05:55:26,Amped_Wireless,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2023-3-3 19:30:0,1,-93,33.876311,-117.997446,30.5,131,WIFI
E4:F7:5B:C0:43:F0,ATTwIv8NuI,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-3 19:30:0,5,-91,33.876311,-117.997446,30.5,131,WIFI
2C:EA:DC:C0:2E:69,SpectrumSetup-6B,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-3 19:30:0,6,-53,33.876311,-117.997446,30.5,131,WIFI
