WigleWifi-1.4,appRelease=2.53,model=D1-Mini-Pro,release=0.0.0,device=NetDash,display=SSD1306,board=ESP8266,brand=Wemos
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
B0:E4:D5:0D:CD:2A,WCGWIFI,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:59:31,1,-77,33.885484,-118.029136,19.7,80,WIFI
D8:38:FC:C9:35:68,DWW-SFS,[WEP][ESS],2023-3-5 2:59:31,1,-86,33.885484,-118.029136,19.7,80,WIFI
D8:38:FC:09:35:69,DWW-BC,[WEP][ESS],2023-3-5 2:59:31,1,-87,33.885484,-118.029136,19.7,80,WIFI
D8:EC:5E:3E:FE:6E,ABC,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:59:31,1,-84,33.885484,-118.029136,19.7,80,WIFI
B4:2D:56:7B:C3:E0,WFPOR,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:59:31,1,-86,33.885484,-118.029136,19.7,80,WIFI
CC:40:D0:9E:07:DC,NETGEAR61,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:59:31,1,-85,33.885484,-118.029136,19.7,80,WIFI
98:1E:19:53:29:76,SEEDUSA-2G,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:59:31,1,-91,33.885484,-118.029136,19.7,80,WIFI
84:D8:1B:EA:16:96,AIR SFS,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:59:31,2,-85,33.885484,-118.029136,19.7,80,WIFI
A0:04:60:2A:2A:64,NETGEAR62,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:59:31,3,-79,33.885484,-118.029136,19.7,80,WIFI
D0:17:C2:E2:C4:98,rjkla,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:59:31,4,-84,33.885484,-118.029136,19.7,80,WIFI
