WigleWifi-1.4,appRelease=2.53,model=D1-Mini-Pro,release=0.0.0,device=NetDash,display=SSD1306,board=ESP8266,brand=Wemos
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
84:A0:6E:C9:EC:F6,MySpectrumWiFif0-2G,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-18 1:10:33,1,-88,33.859192,-118.001359,53.7,237,WIFI
8C:7F:3B:73:5A:E0,ATT7g6S7M8,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-18 1:10:33,1,-72,33.859192,-118.001359,53.7,237,WIFI
D8:A7:56:73:FC:B6,MySpectrumWiFib0-2G,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-18 1:10:33,1,-88,33.859192,-118.001359,53.7,237,WIFI
48:F8:B3:90:68:A9,KR2Private,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-18 1:10:33,2,-92,33.859192,-118.001359,53.7,237,WIFI
E4:71:85:26:9D:00,Almond-assist,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-18 1:10:33,4,-85,33.859192,-118.001359,53.7,237,WIFI
2C:00:AB:B3:A8:70,ATT7qy6FEA,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-18 1:10:33,4,-86,33.859192,-118.001359,53.7,237,WIFI
48:D2:4F:F8:AA:D6,SpectrumSetup-D0,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-18 1:10:33,6,-92,33.859192,-118.001359,53.7,237,WIFI
AC:8F:A9:C5:CA:14,ATTUKUyTIz,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-18 1:10:33,6,-90,33.859192,-118.001359,53.7,237,WIFI
74:3E:2B:4F:83:98,Spectrum,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2023-3-18 1:10:33,6,-78,33.859192,-118.001359,53.7,237,WIFI
74:3E:2B:8F:83:98,Spectrum Free Trial,[ESS],2023-3-18 1:10:33,6,-76,33.859192,-118.001359,53.7,237,WIFI
74:3E:2B:CF:83:98,Spectrum Mobile,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2023-3-18 1:10:33,6,-79,33.859192,-118.001359,53.7,237,WIFI
30:93:BC:81:E3:7E,DanielsTruth,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-18 1:10:33,6,-85,33.859192,-118.001359,53.7,237,WIFI
7C:8B:CA:CA:65:2B,TP-LINK_652B,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-18 1:10:33,7,-81,33.859192,-118.001359,53.7,237,WIFI
78:6A:1F:BF:41:30,ATTHvhqSVS,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-18 1:10:33,1,-82,33.859192,-118.001359,53.7,237,WIFI
78:8A:20:71:BA:51,Century-Guest,[ESS],2023-3-18 1:10:33,1,-88,33.859192,-118.001359,53.7,237,WIFI
